tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.522	Basalt	9 N East Pacific Rise	255.7697			FS-C-WAX							2495-3														
								10.1029/2005GC001141						2495-3																				6.6e-06			1		9.522		9 N East Pacific Rise	255.7697			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2495-3														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.898	Basalt	9 N East Pacific Rise	255.7009			FS-C-WAX							2497-4														
								10.1029/2005GC001141						2497-4																				4.2e-05	1.8e-06		6		9.898		9 N East Pacific Rise	255.7009			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2497-4														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.7947	Basalt	9 N East Pacific Rise	255.717			FS-C-WAX							2502-2														
								10.1029/2005GC001141						2502-2																				3.7e-05	5e-07		5		9.7947		9 N East Pacific Rise	255.717			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2502-2														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5108	Basalt	9 N East Pacific Rise	255.7359			FS-C-WAX							2503-11														
								10.1029/2005GC001141						2503-11																				4.06e-05			2		9.5108		9 N East Pacific Rise	255.7359			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2503-11														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.8172	Basalt	9 N East Pacific Rise	255.7409			FS-C-WAX							ARC374														
								10.1029/2005GC001141						ARC374																				2.9e-05	3e-07		3		9.8172		9 N East Pacific Rise	255.7409			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			ARC374														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.8581	Basalt	9 N East Pacific Rise	255.7248			FS-C-WAX							ARC387														
								10.1029/2005GC001141						ARC387																				4.76e-05			1		9.8581		9 N East Pacific Rise	255.7248			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			ARC387														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.87622	Basalt	9 N East Pacific Rise	255.69517			FS-C-WAX							ARC406														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.8753	Basalt	9 N East Pacific Rise	255.7302			FS-C-WAX							ARC459														
